20150217-0320,28.38%
20150218-1100,100.00%
20150224-0700,80.14%
20150403-0939,95.88%
20150608-1101,0.00%
20150608-1101,0.00%
20150609-0400,0.00%
20150609-0400,0.00%
20150710-1319,98.78%
20150710-2024,98.78%
20150819-1518,73.15%
20150820-1234,79.64%
20150820-1234,21.74%
20150826-0700,68.81%
20150826-1155,82.61%
20150921-1100,48.89%
20150922-1912,36.40%
20150923-1503,71.75%
20150925-1207,69.47%
20151015-1627,74.66%
20151015-2034,24.00%
20151015-2034,16.00%
20151105-1100,91.01%
20151105-1100,91.01%
20151109-1500,87.96%
20151111-1109,94.17%
20151119-0308,91.21%
20151204-1138,89.63%
20151204-1456,93.02%
20151215-1600,82.88%
20151217-0915,90.12%
20151217-1100,100.00%
20160210-1146,18.97%
20160211-0401,96.88%
20160420-1100,77.97%
20160420-1100,77.97%
20160422-0700,80.49%
20160425-1500,73.53%
20160502-0012,80.49%
20160508-1710,100.00%
20160525-1847,89.69%
20160616-0333,0.00%
20160622-1136,0.00%
20160622-1136,0.00%
20160622-1136,0.00%
20160622-1136,0.00%
20170602-1945,100.00%
20170614-1904,100.00%
20190423-0834,100.00%
20190423-1023,95.24%
20190425-0932,95.24%
20190425-1200,0.00%
20190430-2201,0.00%
20190501-1629,96.83%
20191213-1800,13.89%
20191213-1800,98.61%
