20190215-1721,97.82%
20190304-2336,0.00%
20190308-1921,0.00%
20190308-2324,0.00%
20190309-0518,0.00%
20190309-0518,0.00%
20190309-0518,0.00%
20190311-1825,0.00%
20190311-1825,3.45%
20190312-0424,72.41%
20190313-0024,92.00%
20190315-1825,96.55%
20190401-1419,96.67%
20190402-2324,96.67%
20190403-2303,100.00%
20190408-2330,6.67%
20190408-2330,100.00%
20190409-2238,93.33%
20190409-2238,97.44%
20190424-2031,98.71%
20190501-0526,71.17%
20190606-2326,99.14%
20190613-0529,99.67%
20210128-2020,0.00%
20210128-2020,0.00%
20210128-2020,0.00%
20210128-2020,0.00%
